week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details,gender
2024-05-26,Films (English),1,Atlas,,56300000,2.0,28200000.0,1,False,,"Action, Adventure, Drama"
2024-05-26,Films (English),2,Thelma the Unicorn,,17400000,1.6333,10700000.0,2,False,,"Animation, Adventure, Comedy"
2024-05-26,Films (English),3,Ice Age: Dawn of the Dinosaurs,,15100000,1.5833,9500000.0,1,False,,"Animation, Adventure, Comedy"
2024-05-26,Films (English),4,Mother of the Bride,,14000000,1.5,9300000.0,3,False,,"Comedy, Drama, Romance"
2024-05-26,Films (English),5,Disturbia,,14100000,1.75,8100000.0,2,False,,"Crime, Drama, Mystery"
2024-05-26,Films (English),6,Sing 2,,13900000,1.8333,7600000.0,10,False,,"Animation, Adventure, Comedy"
2024-05-26,Films (English),7,Ice Age: Collision Course,,11700000,1.6167,7200000.0,1,False,,"Animation, Adventure, Comedy"
2024-05-26,Films (English),8,A Simple Favor,,12200000,1.95,6300000.0,1,False,,"Comedy, Crime, Mystery"
2024-05-26,Films (English),9,Madame Web,,11900000,1.9333,6200000.0,2,False,,"Action, Adventure, Sci-Fi"
2024-05-26,Films (English),10,Security,,5100000,1.5333,3300000.0,3,False,,"Action, Crime, Thriller"
2024-05-26,Films (Non-English),1,Golden Kamuy,,15800000,2.15,7300000.0,1,False,,"Animation, Action, Adventure"
2024-05-26,Films (Non-English),2,In Good Hands 2,,10500000,1.6667,6300000.0,1,False,,"Comedy, Drama, Romance"
2024-05-26,Films (Non-English),3,Crew,,10800000,2.0167,5400000.0,1,False,,"Comedy, Drama"
2024-05-26,Films (Non-English),4,The Courier,,5100000,1.7,3000000.0,3,False,,"Drama, History, Mystery"
2024-05-26,Films (Non-English),5,Monster,,3800000,1.4167,2700000.0,2,False,,"Biography, Crime, Drama"
2024-05-26,Films (Non-English),6,Laapataa Ladies,,4000000,2.0667,1900000.0,5,False,,"Comedy, Drama"
2024-05-26,Films (Non-English),7,Shaitaan,,3900000,2.1333,1800000.0,4,False,,"Horror, Thriller"
2024-05-26,Films (Non-English),8,In Good Hands,,2900000,1.7667,1600000.0,6,False,,"Comedy, Drama, Romance"
2024-05-26,Films (Non-English),9,4 Kings 2,,3200000,2.2167,1400000.0,1,False,,"Action, Crime, Drama"
2024-05-26,Films (Non-English),10,The Tearsmith,,2400000,1.75,1400000.0,8,False,,"Drama, Fantasy, Romance"
2024-05-26,TV (English),1,Bridgerton,Bridgerton: Season 3,92800000,3.6667,25300000.0,2,False,,"Drama, Romance"
2024-05-26,TV (English),2,Bridgerton,Bridgerton: Season 1,52700000,8.2,6400000.0,11,False,,"Drama, Romance"
2024-05-26,TV (English),3,"Ashley Madison: Sex, Lies & Scandal","Ashley Madison: Sex, Lies & Scandal: Season 1",16300000,2.6,6300000.0,2,False,,"Documentary, Crime, History"
2024-05-26,TV (English),4,Bridgerton,Bridgerton: Season 2,44700000,8.5,5300000.0,17,False,,"Drama, Romance"
