semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-05-26,Films (English),1,Atlas,56300000,1,False,"Action, Adventure, Drama",2024,maio
2024-05-26,Films (English),2,Thelma the Unicorn,17400000,2,False,"Animation, Adventure, Comedy",2024,maio
2024-05-26,Films (English),3,Ice Age: Dawn of the Dinosaurs,15100000,1,False,"Animation, Adventure, Comedy",2024,maio
2024-05-26,Films (English),4,Mother of the Bride,14000000,3,False,"Comedy, Drama, Romance",2024,maio
2024-05-26,Films (English),5,Disturbia,14100000,2,False,"Crime, Drama, Mystery",2024,maio
2024-05-26,Films (English),6,Sing 2,13900000,10,False,"Animation, Adventure, Comedy",2024,maio
2024-05-26,Films (English),7,Ice Age: Collision Course,11700000,1,False,"Animation, Adventure, Comedy",2024,maio
2024-05-26,Films (English),8,A Simple Favor,12200000,1,False,"Comedy, Crime, Mystery",2024,maio
2024-05-26,Films (English),9,Madame Web,11900000,2,False,"Action, Adventure, Sci-Fi",2024,maio
2024-05-26,Films (English),10,Security,5100000,3,False,"Action, Crime, Thriller",2024,maio
2024-05-26,Films (Non-English),1,Golden Kamuy,15800000,1,False,"Animation, Action, Adventure",2024,maio
2024-05-26,Films (Non-English),2,In Good Hands 2,10500000,1,False,"Comedy, Drama, Romance",2024,maio
2024-05-26,Films (Non-English),3,Crew,10800000,1,False,"Comedy, Drama",2024,maio
2024-05-26,Films (Non-English),4,The Courier,5100000,3,False,"Drama, History, Mystery",2024,maio
2024-05-26,Films (Non-English),5,Monster,3800000,2,False,"Biography, Crime, Drama",2024,maio
2024-05-26,Films (Non-English),6,Laapataa Ladies,4000000,5,False,"Comedy, Drama",2024,maio
2024-05-26,Films (Non-English),7,Shaitaan,3900000,4,False,"Horror, Thriller",2024,maio
2024-05-26,Films (Non-English),8,In Good Hands,2900000,6,False,"Comedy, Drama, Romance",2024,maio
2024-05-26,Films (Non-English),9,4 Kings 2,3200000,1,False,"Action, Crime, Drama",2024,maio
2024-05-26,Films (Non-English),10,The Tearsmith,2400000,8,False,"Drama, Fantasy, Romance",2024,maio
2024-05-26,TV (English),1,Bridgerton,92800000,2,False,"Drama, Romance",2024,maio
2024-05-26,TV (English),2,Bridgerton,52700000,11,False,"Drama, Romance",2024,maio
2024-05-26,TV (English),3,"Ashley Madison: Sex, Lies & Scandal",16300000,2,False,"Documentary, Crime, History",2024,maio
2024-05-26,TV (English),4,Bridgerton,44700000,17,False,"Drama, Romance",2024,maio
2024-05-26,TV (English),5,Baby Reindeer,17700000,7,False,"Biography, Drama",2024,maio
2024-05-26,TV (English),6,Jurassic World: Chaos Theory,15000000,1,False,"Animation, Action, Adventure",2024,maio
2024-05-26,TV (English),7,Tires,8500000,1,False,"Drama, Crime",2024,maio
2024-05-26,TV (English),8,Queen Charlotte: A Bridgerton Story,20400000,7,False,"Drama, History, Romance",2024,maio
2024-05-26,TV (English),9,Bodkin,11200000,3,False,"Comedy, Drama, Thriller",2024,maio
2024-05-26,TV (English),10,Buying London,8000000,1,False,Reality-TV,2024,maio
2024-05-26,TV (Non-English),1,The 8 Show,33200000,2,False,"Comedy, Drama, Mystery",2024,maio
2024-05-26,TV (Non-English),2,Demon Slayer: Kimetsu no Yaiba,3200000,2,False,"Animation, Action, Adventure",2024,maio
2024-05-26,TV (Non-English),3,"Thank You, Next",14400000,3,False,"Short, Comedy",2024,maio
2024-05-26,TV (Non-English),4,Franco Escamilla: Ladies' man,2300000,1,False,Comedy,2024,maio
2024-05-26,TV (Non-English),5,The Asunta Case,10200000,5,False,"Biography, Crime, Drama",2024,maio
2024-05-26,TV (Non-English),6,The Atypical Family,12200000,3,True,"Action, Drama, Fantasy",2024,maio
2024-05-26,TV (Non-English),7,Heeramandi: The Diamond Bazaar,11300000,4,False,"Drama, History, Romance",2024,maio
2024-05-26,TV (Non-English),8,Queen of Tears,30700000,12,False,"Drama, Family, Romance",2024,maio
2024-05-26,TV (Non-English),9,Garouden: The Way of the Lone Wolf,4000000,1,False,"Action, Animation, Fantasy",2024,maio
2024-05-26,TV (Non-English),10,Maestro in Blue,6200000,1,False,Drama,2024,maio
2024-05-19,Films (English),1,Mother of the Bride,38100000,2,False,"Comedy, Drama, Romance",2024,maio
2024-05-19,Films (English),2,Madame Web,20800000,1,False,"Action, Adventure, Sci-Fi",2024,maio
2024-05-19,Films (English),3,Disturbia,13500000,1,False,"Crime, Drama, Mystery",2024,maio
2024-05-19,Films (English),4,Thelma the Unicorn,12000000,1,False,"Animation, Adventure, Comedy",2024,maio
2024-05-19,Films (English),5,Shrek,7700000,10,False,"Animation, Adventure, Comedy",2024,maio
2024-05-19,Films (English),6,Upgrade,4900000,1,False,"Action, Sci-Fi, Thriller",2024,maio
2024-05-19,Films (English),7,Sonic the Hedgehog,4600000,9,False,"Action, Adventure, Comedy",2024,maio
2024-05-19,Films (English),8,The Boss Baby,4100000,14,False,"Animation, Adventure, Comedy",2024,maio
2024-05-19,Films (English),9,Unfrosted,4000000,3,False,"Biography, Comedy, History",2024,maio
2024-05-19,Films (English),10,Smile,4700000,1,False,"Horror, Mystery, Thriller",2024,maio
2024-05-19,Films (Non-English),1,The Courier,19100000,2,False,"Drama, History, Mystery",2024,maio
2024-05-19,Films (Non-English),2,Partiu América,5800000,1,False,Comedy,2024,maio
2024-05-19,Films (Non-English),3,Monster,4700000,1,False,"Biography, Crime, Drama",2024,maio
2024-05-19,Films (Non-English),4,Shaitaan,6800000,3,False,"Horror, Thriller",2024,maio
2024-05-19,Films (Non-English),5,Laapataa Ladies,5300000,4,False,"Comedy, Drama",2024,maio
2024-05-19,Films (Non-English),6,Honeymoonish,3300000,3,False,Romance,2024,maio
2024-05-19,Films (Non-English),7,The Guardian of the Monarchs,3000000,1,False,Documentary,2024,maio
2024-05-19,Films (Non-English),8,Adagio,3600000,1,False,"Action, Crime, Thriller",2024,maio
2024-05-19,Films (Non-English),9,"Tad, The Lost Explorer and the Emerald Tablet",2200000,1,False,"Animation, Adventure, Comedy",2024,maio
2024-05-19,Films (Non-English),10,The Tearsmith,2300000,7,False,"Drama, Fantasy, Romance",2024,maio
2024-05-19,TV (English),1,Bridgerton,165200000,1,False,"Drama, Romance",2024,maio
2024-05-19,TV (English),2,"Ashley Madison: Sex, Lies & Scandal",24600000,1,False,"Documentary, Crime, History",2024,maio
2024-05-19,TV (English),3,Baby Reindeer,29500000,6,False,"Biography, Drama",2024,maio
